,Title,Release Year,Locations,Director,Actor 1
692,Groove,2000,435 23rd Street at Illinois,Greg Harrison,Chris Ferreira
693,Boys and Girls,2000,Golden Gate Bridge,Robert Iscove,"Freddie Prinze, Jr."
694,Boys and Girls,2000,628 Cole Street,Robert Iscove,"Freddie Prinze, Jr."
695,Bedazzled,2000,City Hall,Harold Ramis,Brendan Fraser
696,Boys and Girls,2000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Robert Iscove,"Freddie Prinze, Jr."
697,Sausalito,2000,The Castro,Andrew Lau,Maggie Cheung
698,Bedazzled,2000,1155 Filbert Street at Hyde,Harold Ramis,Brendan Fraser
699,Just One Night,2000,Ferry Building,Alan Jacobs,Timothy Hutton
700,Groove,2000,435 23rd Street at Illinois,Greg Harrison,Chris Ferreira
701,Boys and Girls,2000,Ferry Building,Robert Iscove,"Freddie Prinze, Jr."
702,Boys and Girls,2000,Chinatown,Robert Iscove,"Freddie Prinze, Jr."
703,Bedazzled,2000,Vaillancourt Fountain (Justin Herman Plaza),Harold Ramis,Brendan Fraser
704,Bedazzled,2000,"Washington Square Park (Filbert, between Stockton and Powell)",Harold Ramis,Brendan Fraser
705,Boys and Girls,2000,Fisherman's Wharf,Robert Iscove,"Freddie Prinze, Jr."
706,Groove,2000,435 23rd Street at Illinois,Greg Harrison,Chris Ferreira
707,Boys and Girls,2000,Alcatraz Island,Robert Iscove,"Freddie Prinze, Jr."
708,Sweet November,2001,Blooms Saloon (18th Street between Missouri and Texas Streets),Pat O'Connor,Keanu Reeves
